"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 05 10:59:53 IST 2020","Sun Apr 05 10:59:55 IST 2020","2722","","login page feature test","","login page feature test","verify sign up link","verify sign up link",""
"passed","Sun Apr 05 10:59:35 IST 2020","Sun Apr 05 10:59:35 IST 2020","2","","Database Connectivity","","Database Connectivity","inserting into database","inserting into database",""
"passed","Sun Apr 05 10:59:32 IST 2020","Sun Apr 05 10:59:35 IST 2020","3523","","Database Connectivity","","Database Connectivity","fetching data from database","fetching data from database",""
"passed","Sun Apr 05 10:59:55 IST 2020","Sun Apr 05 10:59:58 IST 2020","2631","","login page feature test","","login page feature test","verify login","verify login",""
"broken","Sun Apr 05 10:59:32 IST 2020","Sun Apr 05 10:59:53 IST 2020","20731","","login page feature test","","login page feature test","verify login page title","verify login page title",""
